filename,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
text681,0.312977099,0.027989822,0.027989822,0.022900763,0.040712468,0.027989822,0.066157761,0.081424936,0.03562341,0.356234097
text162,0.3125,0.066176471,0.069852941,0.036764706,0.125,0.091911765,0.0625,0.0625,0.080882353,0.091911765
text588,0.311178248,0.033232628,0.033232628,0.151057402,0.105740181,0.060422961,0.084592145,0.051359517,0.036253776,0.132930514
text1067,0.310699588,0.043209877,0.061728395,0.016460905,0.12962963,0.102880658,0.020576132,0.228395062,0.051440329,0.034979424
text990,0.310657596,0.015873016,0.0430839,0.015873016,0.070294785,0.095238095,0.079365079,0.265306122,0.0861678,0.01814059
text576,0.30994152,0.286549708,0.032163743,0.038011696,0.087719298,0.032163743,0.049707602,0.067251462,0.035087719,0.061403509
text377,0.308300395,0.138339921,0.055335968,0.035573123,0.225296443,0.035573123,0.039525692,0.031620553,0.071146245,0.059288538
text13,0.307377049,0.116803279,0.026639344,0.034836066,0.165983607,0.028688525,0.036885246,0.18647541,0.030737705,0.06557377
text924,0.305122494,0.026726058,0.042316258,0.033407572,0.062360802,0.122494432,0.053452116,0.028953229,0.296213808,0.028953229
text607,0.3,0.14375,0.1,0.05,0.1,0.05,0.05,0.075,0.0625,0.06875
text1024,0.298701299,0.038961039,0.028138528,0.021645022,0.073593074,0.062770563,0.222943723,0.142857143,0.021645022,0.088744589
text1291,0.296907216,0.142268041,0.037113402,0.028865979,0.321649485,0.035051546,0.032989691,0.032989691,0.028865979,0.043298969
text1422,0.290388548,0.030674847,0.028629857,0.034764826,0.163599182,0.032719836,0.047034765,0.09202454,0.042944785,0.237218814
text1409,0.289855072,0.328502415,0.057971014,0.043478261,0.053140097,0.072463768,0.043478261,0.028985507,0.048309179,0.033816425
text164,0.289093298,0.070959264,0.015768725,0.013140604,0.139290407,0.032851511,0.304862024,0.060446781,0.036793693,0.036793693
text941,0.288461538,0.028846154,0.072115385,0.033653846,0.117788462,0.0625,0.213942308,0.060096154,0.052884615,0.069711538
text1206,0.286026201,0.043668122,0.065502183,0.23580786,0.076419214,0.019650655,0.017467249,0.024017467,0.015283843,0.216157205
text948,0.282560706,0.059602649,0.024282561,0.050772627,0.033112583,0.022075055,0.052980132,0.231788079,0.028697572,0.214128035
text923,0.28164557,0.022151899,0.028481013,0.041139241,0.066455696,0.047468354,0.205696203,0.041139241,0.015822785,0.25
text998,0.281437126,0.071856287,0.077844311,0.047904192,0.101796407,0.05988024,0.065868263,0.149700599,0.101796407,0.041916168
